title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
"land and livestock holdings survey : nss forty-eighth round, january-december 1992",chiefly statistical tables,"-- rept 2 operational land holdings in india, 1991-92 : salient features","['livestock', 'land tenure', 'consolidation of land holdings']","['land use, rural']",s,"{'livestock': 17, 'land tenure': 7, 'consolidation of land holdings': 12}"
risk spreading agriculture : an innovative way of agricultural practices,"study of rajasthan, india","machine generated contents note: chapter 1 : introduction 1 -- chapter 2 perception of risk spreadingagriculture 13 -- chapter 3 agricultural scenario in the state 21 -- chapter 4 conditinsof suporting agriculture 37 -- chapters socio-ultural limiting factors and -- riskspreading 47 -- chapter 6 agricultural economy in the state 55 -- chapter 7 agricultural systems, crop combination -- and risk spreading 68 -- chapter 8 levels of risk spreading agriculture 92 -- chapter 9 risk spreadig regions 108 -- chapter 10 prospects and problems 129 -- appendices t i 133 -- bibliography 141",['farm management'],"['agricultural development projects', 'agricultural diversification', 'agricultural systems']",s,{'farm management': 16}
hunting dangerous game with the maharajas : tales of adventure on a grand scale that took place for the most part in the first half of the 20th century,"comprises hunting experiences in india, bangladesh, and nepal","machine generated contents note: part l -- pre-partition of india during the british raj -- 1930-1947 -- experiences of shuja ul islam -- 1 the thrill of tiger hunting3 -- 2 death defying stalk of a tiger on foot, -- landsdowne, 194213 -- 3 lion hunt with the nawabs of manawadar -- g ir forest, 1944 23 -- 4 unexpected attack-my first tiger -- decem ber 24, 194533 -- 5 edgar lewis, an anglo indian friend49 -- 6 second tiger59 -- 7 risking his life, my uncle walked up on a man-eating tiger73 -- part 2 -- post-partition of india -- 1947-1965 -- experiences of shuja u1 islam -- 8 hunting a terrifying leopard -- sindh and baluchistan (provinces of pakistan), 195485 -- 9 frightened to death with a close encounter, nepal97 -- 10 the famous tiger tops in early days -- nepal-chitwan forest103 -- 11 the rogue leopard, nepal117 -- 12 fight to the death129 -- 13 d ouble on tigers133 -- 14 the tiger that got away, 1952149 -- 15 grand tiger hunt with maharaj-kumar of vizianagram, -- 1955155 -- 16 hunting in the himalaya-mussoorie tiger165 -- 17 imminent death-dethroned with the tiger, 1961171 -- 18 my father's last tiger-the largest, 1964177 -- part 3 -- east pakistan (now bangladesh) and other areas -- 19 chittagong leopard187 -- 20 trevor197 -- 21 snow leopards in the himalayas, 1962203 -- 22 vicious man-eating tigers, sundarban209 -- part 4 -- americans abroad -- 23 a tiger to remember, cambodia225 -- 24 royal tiger shoot, nepal -- colonel william gresham, usa-ret235 -- 25 saved from the jaws of death, 1965247 -- colonel elton duren, usa-ret -- 26 charlotte ""peaches"" guerrero -- a lady tiger hunter255 -- 27 put into deadly peril from a sneeze -- sefior jose m sodiro275 -- 28 will you help save the tigers?287 -- appendix a principal hunter-shuja ul islam291 -- appendix b co-writer and editor-john h roush, jr 293 -- glossary297 -- index307","['big game hunting', 'big game hunting', 'hunting stories']","['tiger hunting', 'big game hunting']",s,"{'big game hunting': 2, 'hunting stories': 3}"
sustainable mountain agriculture,"selected papers on research work conducted in the hindu kush-himalayan region, west sichuan (china), himachal pradesh (india), the north west frontier province (pakistan), and the middle hills of nepal",v 1 perspectives and issues -- v 2 farmers' strategies and innovative approaches,"['hill farming', 'hill farming', 'sustainable agriculture', 'sustainable agriculture']","['sustainable agriculture', 'alternative agriculture', 'agricultural development projects']",s,"{'hill farming': 12, 'sustainable agriculture': 1}"
the mango book,with reference to india,"v 1 production, post harvest technology and export marketing","['mango', 'mango industry', 'mango']","['mango industry', 'mango', 'fruit trade']",s,"{'mango': 2, 'mango industry': 1}"
flood devastation and agricultural development in eastern india,"papers presented at a national seminar held in november 1997 at samastipur, bihar",v 1 the background volume -- v 2 the proceedings volume,"['floodplain agriculture', 'floods']","['floodplain agriculture', 'floodplain management']",s,"{'floodplain agriculture': 1, 'floods': 3}"
ipm system in agriculture,with reference to india,v1 principles and perspectives -- v 2 biocontrol in emerging biotechnology -- v 3 cereals -- v 4 pulses -- v 5 oilseeds -- v 6 cash crops -- v 7 key animal pests,"['agricultural pests', 'grain', 'seed crops', 'oilseed plants', 'agricultural pests']","['agricultural biotechnology', 'biodynamic agriculture']",s,"{'agricultural pests': 3, 'grain': 500, 'seed crops': 31, 'oilseed plants': 57}"
participatory forest management : implications for policy and human resources' development in the hindu kush-himalayas,"papers presented at the regional workshop on participatory forest management: implications for policy and human resources' development in the hindu kush himalayas, held during 7-12 may, 1998, at kunming, china","vol 1 workshop proceedings / [editors, anupam bhatia, sameer karki] -- vol 2 china / [editors, anupam bhatia, tang ya] -- vol 3 eastern himalayas /[editor], anupam bhatia -- vol 4 india / [editor], anupam bhatia -- vol 5 nepal / [editor, anupam bhatia] -- vol 6 pakistan / [editor, anupam bhatia]","['forest management', 'forest conservation', 'forests and forestry']","['forest management', 'forest conservation', 'forest policy', 'forestry and community']",s,"{'forest management': 1, 'forest conservation': 2, 'forests and forestry': 9}"
"smriti, memoirs of golden past : organised to commemorate 50th anniversary of india's independence, 5-6 march, 1998","memoirs presented at the 1st and 2nd senior foresters' workshops, held during 5-6 march, 1998, and 26-27 may, 1998, at indira gandhi national forest academy, dehradun",v [1] alumni meet -- v 2 senior foresters' meet,"['forests and forestry', 'forest conservation', 'forest ecology']","['forests and forestry', 'forest conservation', 'forest management']",s,"{'forests and forestry': 1, 'forest conservation': 2, 'forest ecology': 4}"
george washington carver : scientist and inventor,"profiles the dynamic man who began life as a slave and became an artist, agriculturist, university professor, and public speaker who addressed the house ways and means committee on the issue of import tariffs in 1921","1 ""the peanut man"" -- 2 ""the plant doctor"" -- 3 in search of an education -- 4 ""cast down your bucket where you are"" -- 5 scientific agriculture -- 6 reaching out to farmers and students -- 7 the boll weevil, war, and racial prejudice -- 8 talks with ""mr creator"" -- 9 becoming a trailblazer -- 10 ongoing fame","['african american agriculturists', 'agriculturists']","['african american scientists', 'african american agriculturists', 'agricultural innovations']",s,"{'african american agriculturists': 2, 'agriculturists': 7}"
fire-fighting aircraft and smoke jumpers,"presents first-hand pilot accounts and examines pilot training, aircraft specifications, and specialized equipment used in fighting wildfires from the air",wildfire -- flying on the edge of danger -- fire-fighting equipment -- smoke jumper training -- taming the flames,"['aeronautics in forest fire control', 'smokejumpers']","['aeronautics in forest fire control', 'airtankers (forest fire control)', 'wildfire fighters']",s,"{'aeronautics in forest fire control': 1, 'smokejumpers': 27}"
sunday silence,"sold to japan after kentucky breeders ignored him, sunday silence, a former horse of the year, became the most successful stallion in history his story is interwoven with those of his owner, arthur hancock, trainer charlie whittingham, and jockey patrick valenzuela","machine generated contents note: introduction -- horse of destiny -- chapter 1 -- praying for a miracle -- chapter 2 -- providential -- chapter 3 -- a tough sell -- chapter 4 -- ""sunday stop it"" -- chapter 5 -- no easy rival -- chapter 6 -- rolling the dice -- chapter 7 -- silent no more -- chapter 8 -- r-e-s-p-e-c-t -- chapter 9 -- easy does it -- chapter 10 -- who's best? -- chapter 11 -- ""much the best"" -- chapter 12 -- sayonara sunday -- chapter 13 -- best in the world -- epilogue -- rivalry enshrined -- pedigree -- past performances","['sunday silence (race horse)', 'race horses']","['sunday silence (race horse)', 'dressage horses']",s,"{'sunday silence (race horse)': 1, 'race horses': 7}"
genetics and silviculture of teak,contributed seminar papers with reference to india,"machine generated contents note: 1 changing scenario of teak cultivation: a case study -- s kondas -- 2 silviculture and management of teak -- p keswani -- 3 teak seed research: problems and prospects -- b gurudev singh, mc arjunan, l manimuthu, -- np mahadevan and p masilamani -- 4 improved production system for quality seedlings in teak -- k subramanian -- 5 role of biofertilizer in teak cultivation -- rk verma -- 6 productivity and nutrient cycling in teak plantations -- m george and c buvaneswaran -- 7 potential of teak as a woody component in agroforestry system -- sunil puri -- 8 reproductive biology and breeding system in teak -- b nagrajan, ks amil selvi, pj wils andak mandal -- 9 genetical improvement of teak: concept, application and -- achievement -- gjsk emmanuel -- 10 quanpative genetic aspects of teak improvement -- ak mandal and n rambabu -- 11 breeding for improved wood quality of teak -- km bhat -- 12 clonal propagation of teak -- sa ansar, sandeep kumar, sushma sharma and -- fatima shinn -- 13 insect pests of teak and breeding for insect resistance -- n roychoudhury, avinash jain and k c joshi -- 14 diseases of teak -- jamaluddin, nsk harsh and kk soni -- 15 economics of teak plantation in india -- jk rawat and ms negi","['teak', 'teak']","['plant breeding', 'teak', 'plant ecology']",s,{'teak': 2}
