title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
the boys' book of submarines,"""indeed, so wonderful is the submarine and so great are her possibilities that you should by all means know exactly how she is made and works, as well as her torpedoes the easiest and certainly the most interesting way to find out about these things is to read this book and then build a model submarine and torpedoes according to the simple directions we have given""--page viii",a word to you -- the first of the submarines -- how to make and work a model submarine -- how a real submarine is made and works -- the heart of the submarine -- making and shooting the torpedo -- making the submarine deadlier -- the wonderful eye of the submarine -- the marvelous tongue and ears of the submarine -- the crew of the submarine -- how the submarine attacks -- the new submarine chasers -- the last word in submarines,"['submarines (ships)', 'submarines (ships)', 'submarines (ships)', 'submarine warfare', 'world war, 1914-1918']","['submarines (ships)', 'submarine warfare', 'nuclear submarines']",v,"{'submarines (ships)': 1, 'submarine warfare': 2, 'world war, 1914-1918': 131}"
"the log of the ""cutty sark""","""next to the victory, the most interesting survivor of the days of sail is undoubtedly the famous tea and wool clipper, cutty sark she represents the last word in composite clipper ship designing, being launched at a time when the iron sailing ship was just beginning to supplant the wood and composite thus her design is of special interest to all who would follow the gradual development of ship architecture from wood to composite, composite to iron and iron to steel includes two fold-out pages: one of the sail plan and one of the lines of the ship""--amazoncom","""weel done, cutty sark"" -- the building of the cutty sark -- in the china trade -- in the china trade - continued -- a hell-ship voyage -- under captain moore -- in the wool trade under captain woodget -- in the wool trade under captain woodget - continued -- under the portuguese","['clipper ships', 'logbooks']","['ships, medieval', 'naval history, modern']",v,"{'clipper ships': 13, 'logbooks': 106}"
battleships,"introduces the development, military uses, weaponry, dangers, and locomotion of battleships",machine generated contents note: chapter 1 battleships --chapter 2 battleship weapons --chapter 3 battleship history --chapter 4 fast battleships --chapter 5 battleships at war --chapter 6 safety and the future --features --historical map --photo diagram --words to know --to learn more --useful addresses --internet sites --index,['battleships'],"['battleships', 'naval gunnery', 'naval tactics']",v,{'battleships': 1}
nuclear submarine disasters,"presents a history of disasters involving nuclear submarines, including the thresher, the scorpion, and the kursk, and explores how the investigation of these accidents can lead to safety reform","machine generated contents note: 1 on the bottom 11 -- 2 iron coffins, pigboats, and fbms 25 -- 3 thresher 39 -- 4 the subsafe program 57 -- scorpion 65 -- 6 russian disasters 77 -- 7 kursk 91 -- 8 an accident can be the impetus for reform 103 -- chronology 112 -- further reading 114 -- index 115",['nuclear submarines'],['nuclear submarines'],v,{'nuclear submarines': 1}
my years at sea,autobiography of an indian navy officer,"machine generated contents note: chapter 1 -- the early years -- chapter 2 -- my years in the navy -- chapter 3 -- live anti submarine training -- chapter 4 -- adventure in diego garcia -- chapter 5 -- minesweeping operations -- chapter 6 -- operation zipper -- chapter 7 -- entering rangoon -- chapter 8 -- leave and transfer -- chapter 9 -- hms dryad - nd training -- chapter 10 -- national defence academy -- chapter 11 -- ins delhi -- chapter 12 -- fine traditions - great officers -- chapter 13 -- other foreign visits -- chapter 14 -- navigation and direction school -- chapter 15 -- royal naval staff college greenwich -- chapter 16 -- chinese armed forces delegation -- chapter 17 -- ins khukri -- chapter 18 -- deputy naval adviser - london -- chapter 19 -- ins brahmaputra -- chapter 20 -- chief of staff southern naval area -- chapter 21 -- ins mysore -- chapter 22 -- chief of staff western naval command -- chapter 23 -- national defence college -- chapter 24 -- command of the eastern fleet -- chapter 25 -- director general naval dockyard expansion scheme -- chapter 26 -- flag officer commanding southern naval area -- chapter 27 -- commandant, national defence college -- chapter 28 -- flag officer commanding-in-chief eastern -- naval command -- appendices",['admirals'],"['naval history, modern', 'naval history', 'naval art and science']",v,{'admirals': 9}
"merchant & military vessels of world war ii reviewed, vol i [electronic resource]","contains information on minor combatant warship types and merchant vessels under 1,000 gross tons, includes patrol and gunboats, full freighters, tankers, fishing and utility vessels","titles on cd-rom: oni 208-j-supplement 2, far eastern small craft [and] oni 223-m, merchant ship shapes","['warships', 'world war, 1939-1945', 'world war, 1939-1945']","['littoral combat ships', 'naval history, modern', 'torpedo-boats']",v,"{'warships': 22, 'world war, 1939-1945': 74}"
ships and boats,"discusses the different types of ships and boats, from canoes to warships","the titanic -- ships and boats of today -- the first ships and boats -- bigger, better, safer -- working with ships and boats -- safety -- boat races and future ships","['ships', 'boats and boating']","['boats and boating', 'ships, medieval', 'naval history']",v,"{'ships': 20, 'boats and boating': 1}"
"the attack on the uss cole in yemen on october 12, 2000","describes the terrorist attack on the uss cole, a destroyer whose un mission was to patrol the northern persian gulf, as well as the aftermath, investigation, and context of the bombing",the uss cole -- threat condition brave -- the attack -- the aftermath -- the investigation -- the terrorists,"['uss cole bombing incident, aden, yemen, 2000', 'terrorism', 'terrorism', 'bombing investigation']","['uss cole bombing incident, aden, yemen, 2000', 'war on terrorism, 2001-2009']",v,"{'uss cole bombing incident, aden, yemen, 2000': 1, 'terrorism': 8, 'bombing investigation': 4}"
robert fulton : engineer and inventor,discusses the life and work of the inventor who developed the steamboat and made it a commercial success,the early years -- from painting to submarines -- creating a steamboat -- the north river steamboat of clermont,"['marine engineers', 'inventors', 'steamboats']","['inventors', 'naval history', 'naval history, modern']",v,"{'marine engineers': 52, 'inventors': 1, 'steamboats': 4}"
marine corps doctrine publications [electronic resource],"includes publications in the areas of: warfighting, strategy, campaigning, tactics, intelligence, expeditionary operations, logistics, planning, command & control, and componency","marine corps doctrinal publications -- marine corps warfighting publications -- marine corps reference publications -- fleet marine force manuals -- fleet marine force reference manuals -- us army field manuals (dual-designates) -- naval warefare publications (dual-designates) -- air land sea application (alsa) center publications (multi-service) -- marine corps strategy 21 -- expeditionary maneuver warfare -- joint publication 1-02, dod dictionary of military and associated terms -- joint publication 3-02, joint doctrine for amphibious operations","['military doctrine', 'military art and science']","['military doctrine', 'military planning']",v,"{'military doctrine': 1, 'military art and science': 19}"
