title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
simply wright : a journey into the ideas of frank lloyd wright's architecture,"photographs, drawings, and text introduce the architecture of frank lloyd wright and examine the architectural principles evident in his work",harmony -- light -- space -- materials -- nature -- shapes -- creativity -- beauty -- frank lloyd wright's drawings -- build! -- explore!,"['architecture', 'architecture, modern']","['architecture in art', 'architecture and history']",n,"{'architecture': 50, 'architecture, modern': 20}"
the old gang volume 2 [electronic resource],"includes two recently-discovered stories (yippee for winter, and on with the snow) from the mid 1930s, which celebrate the humor and charm of mickey's fun-filled escapades",[disc 1] program 1 -- [disc 2] program 2,"['cartoon characters', 'disney characters']","['urban folklore', 'little red riding hood (tale)']",n,"{'cartoon characters': 19, 'disney characters': 3}"
treasures of the louvre,a chronological arrangement of the graphic and sculptural treasures of the louvre present a pictorial record of man's artistic development and the parallel rise and decay of great civilizations primarily photographs with some text,[1] from the fourth millennium bc to the dawn of the renaissance--[2] from the renaissance to impressionism,"['art', 'art']","['antiquities in art', 'mural painting and decoration, renaissance', 'classical antiquities']",n,{'art': 558}
learning to see,"a set of texts, workbooks, and teacher's manuals designed to teach art techniques by application",book 1 pattern--book 2 form--book 3 movement,['art'],"['pattern books', 'books in art', 'reading in art']",n,{'art': 43}
county court houses of the united states [microform],"reproduces the record of the county court house project of joseph e seagram and sons, inc, a photographic survey conducted as the corporation's gift to the nation for the bicentennial the project produced 11,010 negatives by 24 photographers who worked in all 48 states, with emphasis on the eastern states, the midwest, california, and texas to the seagram photographs have been added selected views from earlier collections in the library of congress, expanding the geographical coverage of the seagram archive, and adding an historical perspective",v 1 alabama-louisiana -- v 2 maine-wyoming,"['courthouses', 'courthouses', 'documentary photography']","['courthouses', 'architecture, colonial', 'art, colonial', 'historic preservation']",n,"{'courthouses': 1, 'documentary photography': 217}"
"armenian architecture [microform] : a documented photo-archival collection on microfiche for the study of armenian architecture of transcaucasia and the near and middle-east, from the medieval period onwards","""about 35,000 photographs of churches, monasteries, and other monuments describing and illustrating some 600 sites""--the library of congress guide to the microform collections in the humanities and social sciences division, online version","v 1 selections from the centuries -- v 2 monuments of soviet armenia, 4th through 12th centuries -- v 3 monuments of the armenian ssr, 6th through 17th centuries -- v 4 monuments of the armenian ssr, pre-christian to the 17th century -- v 5, pt 1 monuments of vaspurakan pt 2 the fortifications and churches of cilician armenia -- v 6, pt 1 monuments in the regions of ararat to central turkey pt 2 s step'anos and s tadeos monasteries of iran -- v 7, pts 1-5 monuments in nagorno-karabakh, nakhichevan, azerbaijan, georgia, and the crimea pt 6 monuments in iran pt 7 monuments in the armenian ssr","['architecture, armenian', 'architecture, armenian', 'architecture, armenian']","['architecture, armenian', 'architecture, ottoman', 'religious architecture', 'islamic architecture']",n,"{'architecture, armenian': 1}"
dimensions of indian art : pupul jayakar seventy,"festschrift to pupul jayakar, scholar of indic arts and crafts; includes contributed articles on indic arts",v 1 text -- v 2 plates,"['art, indic']","['indian art', 'indians in art']",n,"{'art, indic': 4}"
"the world in miniature : engravings by the german little masters, 1500-1550",engravings by german renaissance artists with descriptive notes and essays,"the origin, use, and heritage of the small engraving in northern europe / stephen h goddard -- the little masters, italy and rome / patricia a emison -- the erotic engravings of sebald and barthel beham / janey l levy --altdorfer and the first little master engravings -- allegory and antiquity --religious themes -- mortality and sexuality -- soldiers, peasants, and the secular world","['little masters (artists)', 'engraving', 'engraving, german']","['wood-engraving, renaissance', 'art, early renaissance']",n,"{'little masters (artists)': 21, 'engraving': 128, 'engraving, german': 3}"
"the roman orator and the sacred stage : the roman ""templum rostratum""","examines a particular group of roman temples built with a façade speakers' platform, which were apparently used for both religious and political activities","the origins of the ""templum rostratum"" plan : sixth-second centuries bc -- early rome and the ""templum rostratum"" -- julius caesar and the temple of venus genetrix -- augustus, rome, and the ""templum rostratum"" -- the ""templum rostratum"" beyond the walls of rome : italy and europe -- the ""templum rostratum"" in north africa","['temples', 'political oratory', 'architecture and state']","['theater architecture, hellenistic', 'architecture, roman', 'temples in art']",n,"{'temples': 13, 'political oratory': 32, 'architecture and state': 292}"
lives and works in the arts : from the renaissance to the 20th century,"surveys the lives and works of european and american writers, artists, and composers from the renaissance into the twentieth century",1 the renaissance -- 2 the 17th century -- 3 the 18th century -- 4 the romantics -- 5 the 19th century: europe -- 6 the 19th century: america -- 7 the 20th century: europe -- 8 the 20th century: america -- 9 index,"['arts, modern', 'artists']","['arts, renaissance', 'arts, european', 'history, modern, in art']",n,"{'arts, modern': 16, 'artists': 231}"
modern and contemporary art of the dominican republic,"dist for americas society and the spanish inst, exhibition catalog el arte moderno y contemporáneo de la república dominicana",dominican crosswords: notes on the genesis of modernity in dominican painting c1920-c1945 / edward j sullivan -- an approach to dominican art: 1920-1970 / jeannette miller -- dominican art 1980-1995: recent generations unfettered by the past / marianne de tolentino -- a new wave: contemporary artists of the dominican republic / elizabeth ferrer -- plates,"['art, dominican']","['art, dominican', 'art, central american', 'national characteristics, mexican, in art']",n,"{'art, dominican': 1}"
konarak : the heritage of mankind,"on the sun temple at konārak, india","v 1 religion, history, and architecture -- v 2 art and culture",['hindu sculpture'],"['hindu architecture', 'hindu temples', 'temples in art']",n,{'hindu sculpture': 9}
creative and performing artists for teens,"biographical entries of approximately 300 creative and performing artists from the fields of literature, music, the visual arts, and film and television",v 1 a-c -- v 2 d-k -- v 3 l-p -- v 4 q-z,"['arts, modern']","['artists in popular culture', 'artists and theater']",n,"{'arts, modern': 57}"
"indian and pakistani press coverage of nuclear tests, may 1998 [microform]","articles about the nuclear weapons tests performed by india and pakistan in may, 1998 from 29 indian and pakistani newspapers published during the period may 12 through june 11, 1998","reel 1 index the end of imagination / arundhati roy (from outlook, aug 3, 1998, p 62-71) -- reel 2 may 12-15, 1998 -- reel 3 may 16-19, 1998 -- reel 4 may 20-22, 1998 -- reel 5 may 23-25, 1998 -- reel 6 may 26-29, 1998 -- reel 7 may 30-june 1, 1998 -- reel 8 june 2-5, 1998 -- reel 9 june 6-8, 1998 -- reel 10 june 9-11, 1998","['nuclear weapons', 'nuclear weapons', 'nuclear weapons']","['indic literature', 'nuclear weapons', 'art and nuclear warfare']",n,{'nuclear weapons': 2}
pop artists,discusses the characteristics of the pop art movement which began in the 1950s and 1960s and presents biographies of eleven pop artists,what is pop art? -- pauline boty (1938-1966) -- jim dine (1935-) -- richard hamilton (1922-) -- david hockney (1937-) -- jasper johns (1930-) -- roy lichtenstein (1923-1997) -- claes oldenburg (1929-) -- eduardo paolozzi (1924-) -- robert rauschenberg (1925-) -- george segal (1924-2000) -- andy warhol (1928-1987) -- the next generation,"['pop art', 'artists']","['artists in popular culture', 'popular culture in art', 'art and popular culture']",n,"{'pop art': 4, 'artists': 47}"
cubists,discusses the characteristics of the cubism movement which began in the first decade of the twentieth century and presents biographies of thirteen cubist artists,alexander archipenko -- georges braque -- robert delaunay -- sonia delaunay-terk -- raymond duchamp-villon -- albert gleizes -- juan gris -- roger de la fresnaye -- fernand leger -- jacques lipchitz -- jean metzinger -- francis picabia -- pablo picasso -- the next generation,['cubism'],"['cubism', 'impressionism (art)']",n,{'cubism': 1}
expressionists,discusses the characteristics of the expressionism movement which flourished in germany from 1905 to 1920 and presents biographies of fourteen expressionist artists,what is expressionism? -- max bechmann (1884-1950) -- james ensor (1860-1949) -- wassily kandinsky (1866-1944) -- ernst ludwig kirchner (1880-1938) -- paul klee (1879-1940) -- oskar kokoschka (1886-1980) -- käthe kollwitz (1867-1945) -- august macke (1887-1914) -- franz marc (1880-1916) -- paula modersohn-becker (1876-1907) -- edvard munch (1863-1944) -- emil nolde (1867-1956) -- max pechstein (1881-1955) -- egon schiele (1890-1918) -- the next generation,"['expressionism (art)', 'expressionism (art)']","['expressionism (art)', 'abstract expressionism', 'figurative expressionism']",n,{'expressionism (art)': 1}
harlem renaissance artists,"discusses the characteristics of the harlem renaissance art movement which flourished in harlem, new york, in the 1920s and presents biographies of eleven artists","richmond barthe -- aaron douglas -- palmer hayden -- malvin gray johnson -- sargent claude johnson -- william h johnson -- lois mailou jones -- archibald j motley, jr -- augusta savage -- hale woodruff -- james van der zee -- next generation","['african american artists', 'african american art', 'harlem renaissance']","['african americans in art', 'african american art']",n,"{'african american artists': 19, 'african american art': 2, 'harlem renaissance': 6}"
michelangelo : his life and art,"introduces the life of the artist who painted the frescoes on the ceiling of the sistine chapel, but whose greatest love was sculpture",birth of an artist -- the young artist -- the sistine chapel -- the sculptor as architect -- his final years,"['artists', 'art, renaissance']","['mural painting and decoration, renaissance', 'sculpture, renaissance', 'sculpture, baroque']",n,"{'artists': 314, 'art, renaissance': 20}"
cave of lascaux : the cave of prehistoric wall paintings,"recounts the discovery of the caves in france that have artwork on the walls made by the magdalenian people more than 17,000 years ago",1 four curious boys -- 2 who were the painters? -- 3 the hall of the bulls -- 4 a museum in a cave -- 5 deeper into the cave -- 6 carvings in the walls -- 7 looking at what was left behind -- 8 how did they do that? -- 9 trouble underground -- 10 lascaux ii,"['art, prehistoric', 'cave paintings']","['cave paintings', 'art, prehistoric', 'viking antiquities']",n,"{'art, prehistoric': 2, 'cave paintings': 1}"
